岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
产品经理,青叶软件,https://www.shixiseng.com/intern/inn_9ntaznxd3v91?pcm=pc_SearchList,5k-9k/月,厦门,| 应届生 | 毕业1年内,| 本科,50-150人,工作氛围好，福利旅游，敏捷团队，给力的福利，丰富的员工活动，有平台有机会，实习工资，零食饮品，领导好相处，有转正机会
产品经理,ecMAX,https://www.shixiseng.com/intern/inn_p1kwiyjcu19j?pcm=pc_SearchList,5k-7k/月,苏州,| 应届生,| 本科,50-150人,电商，高大上客户，参与团队决策，专业提升巨大，互联网公司，发展前景好，跨境B2C，全球化，学习型，转正机会
产品经理,自如网,https://www.shixiseng.com/intern/inn_c2aienjqlpg3?pcm=pc_SearchList,13k-25k/月,北京,| 应届生,| 本科,2000人以上,自由氛围，与大拿为伍，90后为主，发展机会
产品经理,有数金服,https://www.shixiseng.com/intern/inn_qwihy52vi1j4?pcm=pc_SearchList,8k-12k/月,杭州,| 应届生,| 本科,150-500人, 
产品经理,小米,https://www.shixiseng.com/intern/inn_h1pfaewc5qon?pcm=pc_SearchList,10k-20k/月,南京,| 应届生,| 本科,2000人以上, 
产品经理,元象Xverse,https://www.shixiseng.com/intern/inn_9dpdimum1oxo?pcm=pc_SearchList,10k-20k/月,深圳,| 应届生 | 毕业1年内,| 本科,50-150人,元宇宙，3D引擎，云渲染，云协同，人工智能，租房补贴
产品经理,交个朋友,https://www.shixiseng.com/intern/inn_lnke7bnkyxg4?pcm=pc_SearchList,18k-25k/月,杭州,| 应届生,| 本科,150-500人,大牛，这里有个性，MCN
产品经理,量投科技,https://www.shixiseng.com/intern/inn_7vnss8jcuvvr?pcm=pc_SearchList,11k-18k/月,上海,| 应届生,| 本科,50-150人,开创未来，资源多，实习可转正，大牛多，金融科技
产品经理,礼意久久,https://www.shixiseng.com/intern/inn_ci2chtauknvv?pcm=pc_SearchList,8k-15k/月,深圳,| 应届生,| 本科,500-2000人,公司氛围超嗨，团队氛围棒，成长快速
产品经理,中电药明,https://www.shixiseng.com/intern/inn_qdtycttwnz0u?pcm=pc_SearchList,10k-15k/月,北京,| 应届生,| 本科,15-50人,医疗大健康，大数据
产品经理,迷你玩,https://www.shixiseng.com/intern/inn_vludf2s8hpjj?pcm=pc_SearchList,7k-12k/月,深圳,| 应届生,| 本科,500-2000人,我们待遇好，帅哥多环境好，高端人脉，提供实习证明，游戏公司，提供转正机会，导师帮扶，年度健康体检，年底高奖金，收获成长
产品经理,同花顺,https://www.shixiseng.com/intern/inn_nvzrrbhxncbp?pcm=pc_SearchList,10k-20k/月,杭州,| 应届生,| 本科,2000人以上,上市公司，五险一金
产品经理,每平每屋设计家,https://www.shixiseng.com/intern/inn_0w74xk9b45gs?pcm=pc_SearchList,薪资面议,杭州,| 应届生 | 毕业1年内,| 本科,150-500人,弹性工作，不打卡，周末双休，阿里巴巴，早10晚6
产品经理,Simba Events,https://www.shixiseng.com/intern/inn_o9gqlpvpep6l?pcm=pc_SearchList,12k-15k/月,上海,| 应届生,| 本科,50-150人,创业氛围好，合伙人，免费零食，国际化团队，升职快，外企文化
产品经理,QTrade,https://www.shixiseng.com/intern/inn_g3u1a5wiq95n?pcm=pc_SearchList,15k-30k/月,上海,| 应届生 | 毕业1年内,| 本科,150-500人,管理规范，氛围轻松，部门旅游，五险;休，晋升机会多，高薪资高挑战
