岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
公关,星之辰娱乐,https://www.shixiseng.com/intern/xjb_p2fiedbwituy?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
公关,夏盛户外用品,https://www.shixiseng.com/intern/xjb_bp2mei9jdxwz?pcm=pc_SearchList,薪资面议,厦门, , , , 
公关,一七福睿,https://www.shixiseng.com/intern/xjb_w4trgknsyxux?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
公关,奔驰汽车,https://www.shixiseng.com/intern/xjb_jncl6cibsj31?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,科发咨询,https://www.shixiseng.com/intern/xjb_axxbmm8n9eda?pcm=pc_SearchList,8k-10k/月,南宁, , , , 
公关,奇安信集团,https://www.shixiseng.com/intern/xjb_oc5u1kdhjahr?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,星之辰娱乐,https://www.shixiseng.com/intern/xjb_863oefga8c7h?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
公关,中科华创,https://www.shixiseng.com/intern/xjb_x0e9znawyl8s?pcm=pc_SearchList,薪资面议,兰州, , , , 
公关,亚态农牧,https://www.shixiseng.com/intern/xjb_u0xihmlw0c4k?pcm=pc_SearchList,薪资面议,黔西南, , , , 
公关,狮临果蔬（江西）,https://www.shixiseng.com/intern/xjb_cqopvwwermjf?pcm=pc_SearchList,薪资面议,上饶, , , , 
公关,安邦咨询,https://www.shixiseng.com/intern/xjb_oqofiplxsiqc?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,正泰电源,https://www.shixiseng.com/intern/xjb_kyx19nmbyvnv?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,翠林投资集团,https://www.shixiseng.com/intern/xjb_rkxsmk3f1r00?pcm=pc_SearchList,薪资面议,深圳, , , , 
公关,菱格木业,https://www.shixiseng.com/intern/xjb_j2xtvz776dqs?pcm=pc_SearchList,薪资面议,湖州, , , , 
公关,猫途鹰,https://www.shixiseng.com/intern/xjb_0prmi1hhmunf?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,网易-暴雪,https://www.shixiseng.com/intern/xjb_uqwhfh6kikpc?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,网易-暴雪,https://www.shixiseng.com/intern/xjb_0vxlhowpxkhz?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,Tripadvisor猫途鹰,https://www.shixiseng.com/intern/xjb_qmtsqfem9rbx?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,奥飞娱乐,https://www.shixiseng.com/intern/inn_7hxybxqbddwd?pcm=pc_SearchList,6k-10k/月,广州,| 应届生,| 本科,2000人以上,共同成长学习，空间无限大，大神云集，工作氛围优良，成长机会多
公关,中青博联（原中青旅会展）,https://www.shixiseng.com/intern/inn_ouob8qc6qin1?pcm=pc_SearchList,5k-7k/月,北京,| 应届生,| 本科,500-2000人,人性化管理，氛围好，商会，优秀的团队，发展空间巨大
公关,数塔公关,https://www.shixiseng.com/intern/inn_knekrvqmd9xm?pcm=pc_SearchList,6k-8k/月,上海,| 应届生 | 毕业1年内,| 本科,少于15人,时尚工作，空间大，办公轻松氛围，办公轻松氛围，奢侈品公关，艺术品经纪
公关,真格基金,https://www.shixiseng.com/intern/inn_rxyc7uecr4nm?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,50-150人,工作环境棒，锻炼能力，入职培训，实习工资高，零食多，拓展人脉圈，精英多，福利，各种产品试吃试玩
公关,小鹏汽车,https://www.shixiseng.com/intern/inn_onbvkeopihzv?pcm=pc_SearchList,薪资面议,广州,| 应届生,| 不限,2000人以上,自动驾驶，AI，互联网，整车研发
公关,一七福睿,https://www.shixiseng.com/intern/xjb_adeeh56u0fao?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
公关,吉利集团（浙江）,https://www.shixiseng.com/intern/xjb_vg3higtrf5yi?pcm=pc_SearchList,薪资面议,杭州, , , , 
公关,保定市美术中学,https://www.shixiseng.com/intern/xjb_xg5efehdy4e4?pcm=pc_SearchList,薪资面议,保定, , , , 
公关,华瀚鸿流,https://www.shixiseng.com/intern/xjb_5i1v3kndtl1l?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,汇天盛农业,https://www.shixiseng.com/intern/xjb_txuxklbpymok?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,小鹏汽车,https://www.shixiseng.com/intern/inn_onbvkeopihzv?pcm=pc_SearchList,薪资面议,广州,| 应届生,| 不限,2000人以上,自动驾驶，AI，互联网，整车研发
公关,科发咨询,https://www.shixiseng.com/intern/xjb_gfvs9xbljmon?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
公关,中青博联,https://www.shixiseng.com/intern/xjb_wb7ulpmh0mks?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,电之美,https://www.shixiseng.com/intern/xjb_qzhsfercarww?pcm=pc_SearchList,10k-20k/月,厦门, , , , 
公关,电之美,https://www.shixiseng.com/intern/xjb_enmylkpil02a?pcm=pc_SearchList,8k-12k/月,厦门, , , , 
公关,海荭兴仪器,https://www.shixiseng.com/intern/xjb_tohuypktxaes?pcm=pc_SearchList,8k-15k/月,厦门, , , , 
公关,中通快递,https://www.shixiseng.com/intern/xjb_gnvlcdr8djmz?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,朗姿股份,https://www.shixiseng.com/intern/xjb_a0kcpibjcxkz?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,松霖科技,https://www.shixiseng.com/intern/xjb_vpqkqcoifdtm?pcm=pc_SearchList,15k-25k/月,厦门, , , , 
公关,吉利集团,https://www.shixiseng.com/intern/xjb_9evtpafouppf?pcm=pc_SearchList,薪资面议,杭州, , , , 
公关,银隆新能源,https://www.shixiseng.com/intern/xjb_dnyr5bv3bskk?pcm=pc_SearchList,薪资面议,珠海, , , , 
公关,九牧厨卫,https://www.shixiseng.com/intern/xjb_jgwi6coyjves?pcm=pc_SearchList,10k-15k/月,厦门, , , , 
公关,罗德传播集团,https://www.shixiseng.com/intern/inn_4w5jdihb00m5?pcm=pc_SearchList,6k-7k/月,北京,| 应届生 | 毕业1年内,| 本科,150-500人,整合营销，传播咨询，培养新人，外资集团，客户资源丰富，提升空间大
公关,安奈儿童装,https://www.shixiseng.com/intern/inn_0rgbimgi1vus?pcm=pc_SearchList,4k-5k/月,深圳,| 应届生,| 本科,2000人以上,有钱任性，员工俱乐部，名企实习，发展空间，品牌质感，行业领航者
公关,哲基咨询,https://www.shixiseng.com/intern/inn_esjiytzhocwg?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,哲基咨询,https://www.shixiseng.com/intern/inn_wgj8sz1tfx8s?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,哲基咨询,https://www.shixiseng.com/intern/inn_rt5gmz2dnhdy?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,慧择网,https://www.shixiseng.com/intern/inn_g3wokfzq4zht?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,500-2000人,互联网保险，准上市，高速发展，福利环境超好，免费茶饮，六险一金，免费三餐
公关,哲基咨询,https://www.shixiseng.com/intern/inn_9zskjbgwyog4?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,哲基咨询,https://www.shixiseng.com/intern/inn_utauhwncni2x?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,ecMAX,https://www.shixiseng.com/intern/inn_xiwipzrcrf1l?pcm=pc_SearchList,5k-7k/月,苏州,| 应届生,| 大专,50-150人,电商，高大上客户，参与团队决策，专业提升巨大，互联网公司，发展前景好，跨境B2C，全球化，学习型，转正机会
公关,百融云创,https://www.shixiseng.com/intern/xjb_l6xozeqwnzut?pcm=pc_SearchList,7k-15k/月,北京, , , , 
公关,飞亚达,https://www.shixiseng.com/intern/xjb_isi346dwdbpv?pcm=pc_SearchList,薪资面议,深圳, , , , 
公关,声智科技,https://www.shixiseng.com/intern/xjb_obrvf7nuyuxp?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,翠林投资,https://www.shixiseng.com/intern/xjb_kkqtoe8wcc6t?pcm=pc_SearchList,薪资面议,深圳, , , , 
公关,小龙坎餐饮,https://www.shixiseng.com/intern/xjb_nqkzzqslyydi?pcm=pc_SearchList,薪资面议,成都, , , , 
公关,永清环境,https://www.shixiseng.com/intern/xjb_izyf5wlvrf5d?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,畅游天下,https://www.shixiseng.com/intern/xjb_enmpx44tuxjy?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,声智科技,https://www.shixiseng.com/intern/xjb_mi3upbarr18f?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,威海天航,https://www.shixiseng.com/intern/xjb_ea3mntpk5kjm?pcm=pc_SearchList,5k-6k/月,威海, , , , 
公关,出众集团,https://www.shixiseng.com/intern/inn_scy4bsoawmgx?pcm=pc_SearchList,5k-6k/月,佛山,| 应届生 | 毕业1年内,| 大专,150-500人,领导好，客户资源丰富
公关,TaskforceConsultancy,https://www.shixiseng.com/intern/inn_7rtsasqbknat?pcm=pc_SearchList,7k-10k/月,北京,| 应届生 | 毕业1年内,| 本科,少于15人, 
公关,嘉东投资,https://www.shixiseng.com/intern/inn_yquepippzrtf?pcm=pc_SearchList,5k-7k/月,上海,| 毕业1年内 | 应届生,| 本科,少于15人, 
公关,乐有家,https://www.shixiseng.com/intern/inn_zoromzuwybpm?pcm=pc_SearchList,7k-11k/月,深圳,| 应届生 | 毕业1年内,| 本科,15-50人, 
公关,维科物业,https://www.shixiseng.com/intern/inn_8qlxsgrijgze?pcm=pc_SearchList,4k-6k/月,宁波,| 应届生,| 本科,500-2000人,物业，服务，安防，工程，绿化，保洁
公关,哲基咨询,https://www.shixiseng.com/intern/inn_kq8w3a4dz8es?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,哲基咨询,https://www.shixiseng.com/intern/inn_dxwhonkg7nbq?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,哲基咨询,https://www.shixiseng.com/intern/inn_6euc7axzpjar?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,小仙炖鲜炖燕窝,https://www.shixiseng.com/intern/inn_9okqjuakhd0g?pcm=pc_SearchList,10k-14k/月,北京,| 应届生,| 本科,500-2000人,90后企业，优秀留用，福利齐全，舒适环境，实习生待遇好，潮人多
公关,罗德传播集团,https://www.shixiseng.com/intern/inn_6segbkhmwg5z?pcm=pc_SearchList,6k-8k/月,上海,| 应届生 | 毕业1年内,| 本科,150-500人,整合营销，传播咨询，培养新人，外资集团，客户资源丰富，提升空间大
公关,哲基咨询,https://www.shixiseng.com/intern/inn_nys5lalywsve?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
公关,拓维信息,https://www.shixiseng.com/intern/inn_bsy00jupe6fa?pcm=pc_SearchList,7k-12k/月,长沙,| 应届生,| 本科,2000人以上, 
公关,小希,https://www.shixiseng.com/intern/inn_8lfhqb8x7tcd?pcm=pc_SearchList,7k-10k/月,广州,| 毕业1年内,| 本科,2000人以上,提供转正，毕业可转正，近地铁站，人性化，氛围活跃
公关,合众汽车,https://www.shixiseng.com/intern/inn_hq30i1yfdeve?pcm=pc_SearchList,5k-10k/月,上海,| 应届生,| 本科,2000人以上,公司内部培训，年轻&amp; 活力，超速成长，各种补贴
公关,泰笛科技,https://www.shixiseng.com/intern/inn_dlyx7ozptyui?pcm=pc_SearchList,8k-11k/月,上海,| 应届生,| 本科,500-2000人,注重培养，好的晋升品台，直接参与项目，95后团队
公关,任企建筑,https://www.shixiseng.com/intern/xjb_2ljffwcvhr4j?pcm=pc_SearchList,8k-10k/月,南宁, , , , 
公关,海运资管,https://www.shixiseng.com/intern/xjb_gtnditoatsmr?pcm=pc_SearchList,薪资面议,上海, , , , 
公关,南方测绘,https://www.shixiseng.com/intern/xjb_dvacwtc8e4wk?pcm=pc_SearchList,薪资面议,广州, , , , 
公关,欧菲光集团,https://www.shixiseng.com/intern/xjb_i00xnll1yexc?pcm=pc_SearchList,薪资面议,深圳, , , , 
公关,海边蛙,https://www.shixiseng.com/intern/inn_4ssvkxw0pacm?pcm=pc_SearchList,5k-8k/月,深圳,| 应届生 | 毕业1年内,| 不限,15-50人, 
