岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
广告,微思敦,https://www.shixiseng.com/intern/inn_lfp7gtzvsils?pcm=pc_SearchList,3k-5k/月,武汉,| 应届生,| 本科,150-500人,优秀实习环境，年轻群体，能力锻炼，牛人多，自由开放，给力的薪酬，培训导师，节日礼品，发展机会多，团建活动丰富
广告,武汉越理思,https://www.shixiseng.com/intern/inn_zpyueh6kj4ax?pcm=pc_SearchList,7k-13k/月,武汉,| 应届生 | 毕业1年内,| 本科,50-150人,生日惊喜，免费健身房，高薪，包住，包吃，人性化
广告,欢聚集团,https://www.shixiseng.com/intern/inn_zb9hrdwyzb3y?pcm=pc_SearchList,10k-15k/月,广州,| 应届生,| 本科,2000人以上,工作环境超棒，餐补
广告,四三九九,https://www.shixiseng.com/intern/xjb_7qqmsh6vypfk?pcm=pc_SearchList,薪资面议,厦门, , , , 
广告,雨果网,https://www.shixiseng.com/intern/xjb_gq8ps5dyec4q?pcm=pc_SearchList,8k-15k/月,厦门, , , , 
广告,跟斗云商务,https://www.shixiseng.com/intern/xjb_kdt9nnrvvp6q?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
广告,兆星广告,https://www.shixiseng.com/intern/xjb_um0fubxrb6ga?pcm=pc_SearchList,3k-4k/月,南宁, , , , 
广告,红星闪耀,https://www.shixiseng.com/intern/xjb_rjqqzknaz5kr?pcm=pc_SearchList,5k-6k/月,南宁, , , , 
广告,弼学教育,https://www.shixiseng.com/intern/xjb_ynp8ybqcmhlb?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
广告,万彩广告,https://www.shixiseng.com/intern/xjb_elt3ixakfjet?pcm=pc_SearchList,薪资面议,来宾, , , , 
广告,万彩广告,https://www.shixiseng.com/intern/xjb_pqkl0z746ah0?pcm=pc_SearchList,薪资面议,来宾, , , , 
广告,地铁集团,https://www.shixiseng.com/intern/xjb_savtaqskbh5i?pcm=pc_SearchList,薪资面议,福州, , , , 
广告,完美世界,https://www.shixiseng.com/intern/xjb_tdkpti402syf?pcm=pc_SearchList,薪资面议,北京, , , , 
广告,匠工坊置业,https://www.shixiseng.com/intern/xjb_jgyvws133fzu?pcm=pc_SearchList,5k-6k/月,南宁, , , , 
广告,龙商网络,https://www.shixiseng.com/intern/xjb_cvgzjnw80llw?pcm=pc_SearchList,6k-9k/月,厦门, , , , 
广告,宁道之星,https://www.shixiseng.com/intern/xjb_ao7jjnzrisg2?pcm=pc_SearchList,10k-15k/月,南宁, , , , 
广告,四三九九,https://www.shixiseng.com/intern/xjb_cvwhyg17xafm?pcm=pc_SearchList,薪资面议,厦门, , , , 
广告,一米友邻,https://www.shixiseng.com/intern/xjb_joumtg5mdvnd?pcm=pc_SearchList,5k-8k/月,厦门, , , , 
广告,策程网络,https://www.shixiseng.com/intern/xjb_gypdlrn1tmah?pcm=pc_SearchList,8k-10k/月,厦门, , , , 
广告,富安居家居,https://www.shixiseng.com/intern/xjb_oygk8su7tegw?pcm=pc_SearchList,3k-4k/月,南宁, , , , 
广告,科技产业园,https://www.shixiseng.com/intern/xjb_mpcqyrajnceg?pcm=pc_SearchList,薪资面议,南通, , , , 
广告,交投集团,https://www.shixiseng.com/intern/xjb_jmlkyggas1on?pcm=pc_SearchList,薪资面议,湖州, , , , 
广告,九峰山旅游,https://www.shixiseng.com/intern/xjb_rzmbjq3wjkqo?pcm=pc_SearchList,薪资面议,南京, , , , 
广告,广告产业园区,https://www.shixiseng.com/intern/xjb_3ufybfgc1jtp?pcm=pc_SearchList,薪资面议,宁波, , , , 
广告,公共交通,https://www.shixiseng.com/intern/xjb_f6yivacbahvu?pcm=pc_SearchList,薪资面议,亳州, , , , 
广告,雍康文旅,https://www.shixiseng.com/intern/xjb_ylqwzufcf5aa?pcm=pc_SearchList,薪资面议,毕节, , , , 
广告,广轻控股集团,https://www.shixiseng.com/intern/xjb_q5zbcqx06f9d?pcm=pc_SearchList,薪资面议,广州, , , , 
广告,广轻控股集团,https://www.shixiseng.com/intern/xjb_k5syqjmwua2o?pcm=pc_SearchList,薪资面议,广州, , , , 
广告,狮临果蔬（江西）,https://www.shixiseng.com/intern/xjb_nhb42cahmbtl?pcm=pc_SearchList,薪资面议,上饶, , , , 
广告,中国邮政（东营）,https://www.shixiseng.com/intern/xjb_yqhmrfwrhsgp?pcm=pc_SearchList,薪资面议,东营, , , , 
广告,公交集团,https://www.shixiseng.com/intern/xjb_0g2nrcxqcxjc?pcm=pc_SearchList,薪资面议,自贡, , , , 
广告,服务业集团,https://www.shixiseng.com/intern/xjb_7qhjun3syhtp?pcm=pc_SearchList,薪资面议,温州, , , , 
广告,广众烁（广州）,https://www.shixiseng.com/intern/xjb_abtektvyztow?pcm=pc_SearchList,薪资面议,广州, , , , 
广告,轻度科技,https://www.shixiseng.com/intern/xjb_difuqwjqqrri?pcm=pc_SearchList,薪资面议,武汉, , , , 
广告,壹米滴答,https://www.shixiseng.com/intern/xjb_5vbx3gxlcmai?pcm=pc_SearchList,薪资面议,上海, , , , 
广告,想念食品,https://www.shixiseng.com/intern/xjb_zmjcsei5drcv?pcm=pc_SearchList,薪资面议,南阳, , , , 
广告,乐堂集团,https://www.shixiseng.com/intern/xjb_dzlaaleii69h?pcm=pc_SearchList,薪资面议,合肥, , , , 
广告,钢铁集团（六安）,https://www.shixiseng.com/intern/xjb_s8dfy5zxdbwr?pcm=pc_SearchList,薪资面议,六安, , , , 
广告,中丞控股,https://www.shixiseng.com/intern/xjb_ezbpvu6jsq9r?pcm=pc_SearchList,薪资面议,滁州, , , , 
广告,盈峰环境,https://www.shixiseng.com/intern/xjb_tnexwhov6v8l?pcm=pc_SearchList,薪资面议,绍兴, , , , 
广告,诗悦网络,https://www.shixiseng.com/intern/xjb_wlhzqevrjo9t?pcm=pc_SearchList,6k-8k/月,广州, , , , 
广告,今日头条（陕西）,https://www.shixiseng.com/intern/xjb_h1c0wosug0z4?pcm=pc_SearchList,薪资面议,西安, , , , 
广告,猎奇互娱,https://www.shixiseng.com/intern/xjb_4jssvmpqgdbc?pcm=pc_SearchList,薪资面议,广州, , , , 
广告,华瀚鸿流,https://www.shixiseng.com/intern/xjb_yvzmlzclzuvp?pcm=pc_SearchList,薪资面议,北京, , , , 
广告,利群集团,https://www.shixiseng.com/intern/xjb_anjdkej9xkgl?pcm=pc_SearchList,薪资面议,香港, , , , 
广告,铭点电子,https://www.shixiseng.com/intern/xjb_l7ztxz8idmoe?pcm=pc_SearchList,5k-8k/月,厦门, , , , 
广告,友塔游戏,https://www.shixiseng.com/intern/inn_uynojdtj9yki?pcm=pc_SearchList,10k-18k/月,上海,| 应届生,| 本科,500-2000人,团队年轻化，扁平化管理，发展空间大，气氛轻松愉悦，资深导师，免费午晚餐，新鲜水果，节日福利，生日派对，游戏周年庆
广告,创酷互动,https://www.shixiseng.com/intern/inn_wmk3hvakcmgn?pcm=pc_SearchList,8k-13k/月,广州,| 应届生,| 不限,500-2000人,周末双休，带薪年假，五险一金绩效，管理扁平化，员工体检，成长迅速
