岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
用户研究,水滴公司,https://www.shixiseng.com/intern/inn_cabeq0xsjqph?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,2000人以上,行业前景好，移动互联，医疗健康
用户研究,敦煌网,https://www.shixiseng.com/intern/inn_y7kht3lnldcb?pcm=pc_SearchList,14k-20k/月,北京,| 应届生,| 本科,500-2000人,互联网精神，发展好，大公司
用户研究,随训通,https://www.shixiseng.com/intern/inn_feds3yxipkwm?pcm=pc_SearchList,薪资面议,全国,| 应届生,| 本科,2000人以上,高薪&amp; 奖金，大公司平台，氛围好，弹性工作，竞争力薪酬，有活力
用户研究,光娱游戏,https://www.shixiseng.com/intern/inn_4nyuekatmoul?pcm=pc_SearchList,5k-6k/月,广州,| 应届生,| 大专,150-500人,游戏，简单快乐，员工午餐
用户研究,AKULAKU,https://www.shixiseng.com/intern/inn_brivaafpgxlc?pcm=pc_SearchList,11k-17k/月,深圳,| 应届生,| 本科,2000人以上,全职实习，学习空间，敏捷团队，自由公平，不打杂纯干货，良好团队氛围，累积专业经验，学霸型研发，有益成长，行业大牛
用户研究,凡岛网络,https://www.shixiseng.com/intern/inn_pzpuxozky5yx?pcm=pc_SearchList,4k-6k/月,广州,| 应届生 | 毕业1年内,| 本科,2000人以上,内部岗位竞聘，工资环境好，人性化管理，21号线，六险一金，晋升机会多
用户研究,智己汽车,https://www.shixiseng.com/intern/inn_nbjuicaq8ahw?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,500-2000人,薪资福利完善，丰富团建活动，创业投资
用户研究,游卡,https://www.shixiseng.com/intern/inn_8vgkbwp5cysp?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,500-2000人,五险一金双休，团队充满活力，诚实守信，氛围好 福利多 成长快，福利丰厚，餐补交通报销
用户研究,度小满金融,https://www.shixiseng.com/intern/inn_r5s6mnyaetn1?pcm=pc_SearchList,10k-12k/月,北京,| 应届生,| 本科,2000人以上,年轻化的团队，终身学习，成长机会大，条件好
用户研究,游卡,https://www.shixiseng.com/intern/inn_w0bcdfalqf2o?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,500-2000人,五险一金双休，团队充满活力，诚实守信，氛围好 福利多 成长快，福利丰厚，餐补交通报销
用户研究,古茗科技,https://www.shixiseng.com/intern/xjb_12gdlf00desy?pcm=pc_SearchList,5k-10k/月,台州, , , , 
用户研究,京东科技,https://www.shixiseng.com/intern/inn_bq2hel7ptkuw?pcm=pc_SearchList,10k-20k/月,全国,| 应届生,| 本科,2000人以上,科技公司，金融服务，实习留用机制，福利丰富，团队年轻
用户研究,真格基金,https://www.shixiseng.com/intern/inn_7h8bbfyawkfv?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,50-150人,工作环境棒，锻炼能力，入职培训，实习工资高，零食多，拓展人脉圈，精英多，福利，各种产品试吃试玩
用户研究,泡泡玛特,https://www.shixiseng.com/intern/inn_zxgg1hiobvig?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,500-2000人, 
用户研究,小鹏汽车,https://www.shixiseng.com/intern/inn_nl7pohkq31wd?pcm=pc_SearchList,薪资面议,广州,| 应届生,| 不限,2000人以上,自动驾驶，AI，互联网，整车研发
用户研究,宝宝巴士,https://www.shixiseng.com/intern/xjb_cfwce7dbfm1b?pcm=pc_SearchList,薪资面议,福州, , , , 
用户研究,零点有数,https://www.shixiseng.com/intern/inn_lo0maopubfzf?pcm=pc_SearchList,7k-10k/月,广州,| 应届生,| 本科,50-150人,参与感，创新，有牛人，免费体检，好玩，活力，上司很和蔼，团队氛围超赞
用户研究,多益网络,https://www.shixiseng.com/intern/inn_zfiu5u5xflpk?pcm=pc_SearchList,8k-12k/月,广州,| 应届生,| 不限,500-2000人,虚拟的游戏，真实的幸福
用户研究,蓝鲨信息,https://www.shixiseng.com/intern/inn_cnxhcgss8ipo?pcm=pc_SearchList,7k-12k/月,福州,| 应届生 | 毕业1年内,| 硕士,15-50人,信息安全，年轻有活力，提供转正，领导Nice，良好工作环境，创新&amp; 活跃
用户研究,融创中国,https://www.shixiseng.com/intern/inn_fopjj7fc9wy4?pcm=pc_SearchList,8k-12k/月,中山,| 应届生,| 本科,2000人以上,实习就业，快乐工作，团队努力向上，午餐&amp;amp;amp;下午茶
用户研究,融创中国,https://www.shixiseng.com/intern/inn_lmpnskixec5q?pcm=pc_SearchList,8k-12k/月,珠海,| 应届生,| 本科,2000人以上,实习就业，快乐工作，团队努力向上，午餐&amp;amp;amp;下午茶
用户研究,小鹏汽车,https://www.shixiseng.com/intern/inn_xjm9p69xeu0c?pcm=pc_SearchList,薪资面议,广州,| 应届生 | 毕业1年内,| 本科,2000人以上,自动驾驶，AI，互联网，整车研发
用户研究,小鹏汽车,https://www.shixiseng.com/intern/inn_y7oh7335usru?pcm=pc_SearchList,薪资面议,海外,| 应届生,| 不限,2000人以上,自动驾驶，AI，互联网，整车研发
用户研究,慧择网,https://www.shixiseng.com/intern/inn_vivvqb2r55ds?pcm=pc_SearchList,薪资面议,合肥,| 应届生,| 本科,500-2000人,互联网保险，准上市，高速发展，福利环境超好，免费茶饮，六险一金，免费三餐
用户研究,科锐国际,https://www.shixiseng.com/intern/inn_mmlacs8jbz5a?pcm=pc_SearchList,7k-12k/月,北京,| 应届生 | 毕业1年内,| 本科,2000人以上,行业领军，上市公司，人力资源，俊男靓女，培训导师，大平台
用户研究,纵情向前,https://www.shixiseng.com/intern/inn_avqsopdctrnm?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,500-2000人,学习空间大，丰厚薪水，网络互助，医疗健康，网络筹款，互联网金融
用户研究,易观,https://www.shixiseng.com/intern/inn_empeidsprxbg?pcm=pc_SearchList,8k-13k/月,北京,| 应届生,| 本科,150-500人,大数据，分析，易观千帆，研究，薪酬福利好
用户研究,步步高教育电子,https://www.shixiseng.com/intern/inn_trn82pnwta3u?pcm=pc_SearchList,11k-22k/月,东莞,| 应届生,| 本科,500-2000人, 
用户研究,兰亭集势,https://www.shixiseng.com/intern/inn_ax9jhmt19krn?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,500-2000人,13-16薪，双休&amp;一金，年假多多，团队氛围，毕业可转正
用户研究,易观,https://www.shixiseng.com/intern/inn_yrw6bpejegkq?pcm=pc_SearchList,6k-8k/月,成都,| 应届生,| 本科,150-500人,大数据，分析，易观千帆，研究，薪酬福利好
用户研究, 中原地产,https://www.shixiseng.com/intern/inn_sdhb4yipwgje?pcm=pc_SearchList,7k-10k/月,深圳,| 应届生,| 硕士,2000人以上,逗比同事，活力四射，激励奖金多，生活便利，可以转正，团队幽默友善，职位发展，无责底薪，逼着你成长，节假日福利
用户研究,梦辰文化,https://www.shixiseng.com/intern/inn_6rwigbt7imif?pcm=pc_SearchList,4k-15k/月,北京,| 应届生 | 毕业1年内,| 本科,50-150人,股权众筹，充满激情，实习咨询顾问
用户研究,创梦天地,https://www.shixiseng.com/intern/inn_pfy2wfreqzps?pcm=pc_SearchList,11k-20k/月,深圳,| 应届生,| 本科,500-2000人,福利好，接触面广，高水平老大，免费食宿，激情
用户研究,西北龙湖智慧服务,https://www.shixiseng.com/intern/inn_h6fsv2hxcpb2?pcm=pc_SearchList,5k-8k/月,西安,| 应届生,| 本科,2000人以上,五险一金，超长年假，快速发展，公司福利好，福利待遇
用户研究,威马汽车,https://www.shixiseng.com/intern/inn_fp7euuukkeb2?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,2000人以上,新能源，发展潜力大，公司内部培训，氛围和谐愉快，公司前景好，视才如命，办公环境优，开放创新，大牛云集，行业巨头
用户研究,韶音科技,https://www.shixiseng.com/intern/inn_zm6dufvvpdzl?pcm=pc_SearchList,15k-25k/月,深圳,| 应届生 | 毕业1年内,| 硕士,2000人以上,高新技术企业
用户研究,泡泡玛特,https://www.shixiseng.com/intern/inn_jgem5qtfelj5?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,500-2000人, 
用户研究,七猫,https://www.shixiseng.com/intern/inn_stzyzilegydt?pcm=pc_SearchList,10k-15k/月,上海,| 应届生,| 本科,150-500人,轻松企业氛围，免费早餐，定期团建，1v1指导
用户研究,Insta360影石,https://www.shixiseng.com/intern/inn_ztbhb0fcbcg5?pcm=pc_SearchList,8k-12k/月,深圳,| 应届生 | 毕业1年内,| 本科,500-2000人,导师带教制，技术牛人云集，营销鬼才，国际化团队，CBD核心区，行业有前景
用户研究,光娱游戏,https://www.shixiseng.com/intern/inn_yv66bkohnnpa?pcm=pc_SearchList,5k-6k/月,广州,| 应届生,| 本科,150-500人,游戏，简单快乐，员工午餐
用户研究,好太太集团,https://www.shixiseng.com/intern/inn_yzdft8zwole2?pcm=pc_SearchList,6k-8k/月,广州,| 应届生,| 本科,500-2000人,上市;智能家居；免费食宿；五险一金；系统培训
用户研究,小熊电器,https://www.shixiseng.com/intern/xjb_889ckbe6957i?pcm=pc_SearchList,薪资面议,佛山, , , , 
用户研究,灿坤实业,https://www.shixiseng.com/intern/xjb_ij7uv5fgt9qn?pcm=pc_SearchList,薪资面议,漳州, , , , 
用户研究,长虹美菱,https://www.shixiseng.com/intern/xjb_y5ipqzxsed0v?pcm=pc_SearchList,薪资面议,合肥, , , , 
用户研究,华宇元典,https://www.shixiseng.com/intern/xjb_xue8tqvvthwe?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,青矩技术,https://www.shixiseng.com/intern/xjb_rp9opek0cv8w?pcm=pc_SearchList,薪资面议,北京, , , , 
